,customerID,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churned,DaysCustomer,ChurnSeasonality,gender,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MultipleLines,HasInternet,HasPhone,NotChurned
0,7590-VHVEG,Month-to-month,True,Electronic check,29.85,29.85,False,31,0.8611467540480452,True,True,False,False,False,True,False,False,False,False,False,True,False,True
1,5575-GNVDE,One year,False,Mailed check,56.95,1889.5,False,1036,0.5166652778119314,False,False,False,False,True,False,True,False,False,False,False,True,True,True
2,3668-QPYBK,Month-to-month,True,Mailed check,53.85,108.15,True,61,0.4981366284784055,False,False,False,False,True,True,False,False,False,False,False,True,True,False
3,7795-CFOCW,One year,False,Bank transfer (automatic),42.3,1840.75,False,1371,0.02257626304154546,False,False,False,False,True,False,True,True,False,False,False,True,False,True
4,9237-HQITU,Month-to-month,True,Electronic check,70.7,151.65,True,61,0.4981366284784055,True,False,False,True,False,False,False,False,False,False,False,True,True,False
5,9305-CDSKC,Month-to-month,True,Electronic check,99.65,820.5,True,245,-0.4774894280028391,True,False,False,True,False,False,True,False,True,True,True,True,True,False
6,1452-KIOVK,Month-to-month,True,Credit card (automatic),89.1,1949.4,False,671,0.5203426135057131,False,False,True,True,False,True,False,False,True,False,True,True,True,True
7,6713-OKOMC,Month-to-month,False,Mailed check,29.75,301.9,False,306,0.5240103253675756,True,False,False,False,True,False,False,False,False,False,False,True,False,True
8,7892-POOKP,Month-to-month,True,Electronic check,104.8,3046.05,True,853,-0.5111313784132026,True,True,False,True,False,False,True,True,True,True,True,True,True,False
9,6388-TABGU,One year,False,Bank transfer (automatic),56.15,3487.95,False,1888,0.48690833266842365,False,False,True,False,True,True,False,False,False,False,False,True,True,True
10,9763-GRSKD,Month-to-month,True,Mailed check,49.95,587.45,False,396,0.8633250245021008,False,True,True,False,True,False,False,False,False,False,False,True,True,True
11,7469-LKBCI,Two year,False,Credit card (automatic),18.95,326.8,False,488,-0.5148230222752144,False,False,False,False,False,False,False,False,False,False,False,False,True,True
12,8091-TTVAX,One year,False,Credit card (automatic),100.35,5681.1,False,1767,0.5240103253675756,False,True,False,True,False,False,True,False,True,True,True,True,True,True
13,0280-XJGEX,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,True,1491,0.8697638720650646,False,False,False,True,False,True,True,False,True,True,True,True,True,False
14,5129-JLPIS,Month-to-month,True,Electronic check,105.5,2686.05,False,761,0.8654873276017406,False,False,False,True,True,False,True,True,True,True,False,True,True,True
15,3655-SNQYZ,Two year,False,Credit card (automatic),113.25,7895.15,False,2102,0.03117434158878077,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,8191-XWSZG,One year,False,Mailed check,20.65,1022.95,False,1584,-0.518505144391157,True,False,False,False,False,False,False,False,False,False,False,False,True,True
17,9959-WOFKT,Two year,False,Bank transfer (automatic),106.7,7382.25,False,2163,0.8822061909330865,False,False,True,True,True,False,True,False,True,True,True,True,True,True
18,4190-MFLUW,Month-to-month,False,Credit card (automatic),55.2,528.35,True,304,0.49440298420761813,True,True,True,False,False,False,True,True,False,False,False,True,True,False
19,4183-MYFRB,Month-to-month,True,Electronic check,90.05,1862.9,False,641,0.03117434158878077,True,False,False,True,False,True,True,False,False,True,False,True,True,True
20,8779-QRDMV,Month-to-month,True,Electronic check,39.65,39.65,True,30,0.8697638720650646,False,False,False,False,False,False,True,False,False,True,False,True,False,False
21,1680-VDCWW,One year,False,Bank transfer (automatic),19.8,202.25,False,365,0.9999907524084426,False,True,False,False,False,False,False,False,False,False,False,False,True,True
